PP,CB,SM,DG,CN,CD,VC,SNL,RM,CO,PS,PP2,CF,CA,IN,AR,RP
1,0,0,0-5,0-2,0-10,0-7,0,0-3,0-2,0,1,0-3,0-20,0-5,0-7,0-2
2,1,,6,3,11-13,8-9,1-2,4,3-4,1-2,2,4-5,21-25,6,8-9,3
3,2-3,1,7,4-5,14-16,10-11,3-4,5,5-6,3-4,3,6-7,26-29,7,10,4
4,4-6,2,,6,17-19,12-14,5-6,6-7,7,5-6,4,8-9,30-34,8,11-12,5
5,7-9,3-4,8,7-8,20-21,15-16,7,8,8-9,7-8,5,10-11,35-39,9,13,6
6,10-12,5-6,9,9,22-24,17-18,8-9,9-10,10-11,9-10,6,12-13,40-45,10,14,7
7,13-15,7-8,10,10,25-27,19-20,10,11,12,11-12,7,14-15,46-50,,15-16,8
8,16-18,9-10,11,11-12,28-29,21-23,11-12,12-13,13-14,13-14,8,16-17,51-56,11,17,9
9,19-21,11-13,12,13,30-32,24-25,13,14-15,15-16,15-16,9,18-19,57-62,12,18-19,10
10,22-25,14-15,13-14,14-15,33-35,26-27,14-15,16,17,17-18,10,20-21,63-68,13,20,11
11,26-28,16-17,15,16,36-39,28-30,16,17-18,18-19,19-20,11,22-23,69-74,14,21,12
12,29-32,18-20,16,17-18,40-44,31-32,17,19-20,20-21,21-23,12,24-25,75-80,15,22,13
13,33-35,21-22,17,19,45-48,33-34,18-19,21,22-23,24-25,13,26-27,81-86,16-17,23-24,14
14,36-39,23-24,18-19,20,49-51,35-36,20,22-23,24,26-27,14,28,87-93,18,25,15
15,40-43,25-27,20,21-22,52-56,37-39,21,24-25,25-26,28-29,15,29-30,94-100,19,26,16
16,44-47,28-29,21,23,57-60,40-41,22,26-27,27-28,30-32,16,31-32,101-106,20,27,
17,48-51,30-31,22-23,24-25,61-64,42-43,23,28,29-30,33-34,17,33,107-113,21,28,17
18,52-55,32-33,24,26,65-68,44-46,,29-30,31-32,35-36,18,34-35,114-120,22,29-30,18
19,56-68,34-44,25-32,27-28,69-119,47-68,24-30,31-35,33-42,37-60,19,36-38,121-136,23-33,31-34,19-24
