PP,CB,SM,DG,CN,CD,VC,SNL,RM,CO,PS,PP2,CF,CA,IN,AR,RP
1,0-1,0,0-6,0-3,0-14,0-9,0-2,0-4,0-4,0-1,1,0-6,0-25,0-7,0-9,0-3
2,2-3,,7,4,15-17,10-11,3-4,5-6,5-6,2-3,2,7-8,26-30,8,10-11,4
3,4-6,1,8,5-6,18-20,12-14,5,7,7-8,4-5,3,9-10,31-36,9,12,5
4,7-10,2-4,9,7,21-23,15-16,6-7,8-9,9-10,6-8,4,11-12,37-42,10,13-14,6-7
5,11-13,5-6,,8-9,24-26,17-19,8-9,10-11,11-12,9-10,5,13-14,43-47,11,15,8
6,14-16,7-9,10,10,27-29,20-21,10-11,12,13,11-12,6,15-16,48-53,12,16-17,9
7,17-20,10-12,11,11-12,30-32,22-24,12,13-14,14-15,13-14,7,17-18,54-59,13,18,10
8,21-23,13-14,12,13,33-36,25-26,13-14,15-16,16-17,15-16,8,19-20,60-65,14,19-20,11
9,24-27,15-17,13,14-15,37-40,27-29,15,17,18-19,17-19,9,21-22,66-71,15,21,12
10,28-31,18-19,14-15,16,41-43,30-31,16-17,18-19,20-21,20-21,10,23-24,72-78,16,22,13
11,32-34,20-22,16,17-18,44-47,32-33,18,20-21,22,22-23,11,25-26,79-84,17,23-24,14
12,35-38,23-24,17,19,48-51,34-36,19,22,23-24,24-25,12,27,85-90,18,25,
13,39-42,25-26,18-19,20,52-54,37-38,20,23-24,25-26,26-27,13,28-29,91-97,19,26,15
14,43-46,27-28,20,21-22,55-58,39-40,21,25-26,27-28,28-29,14,30,98-103,20,27,16
15,47-50,29-30,21-22,23,59-62,41-42,22,27,29-30,30-31,15,31-32,104-110,21,28,17
16,51-54,31-32,23,24,63-66,43-45,23,28-29,31,32-34,16,33,111-116,22-23,29,18
17,55-58,33-34,24-25,25,67-70,46-47,,30-31,32-33,35-36,17,34-35,117-123,24,30,19
18,59-61,35,26,26,71-73,48-49,24,32,34-35,37-38,18,36,124-130,25,31,
19,62-68,36-44,27-32,27-28,74-119,50-68,25-30,33-35,36-42,39-60,19,37-38,131-136,26-33,32-34,20-24
