PP,CB,SM,DG,CN,CD,VC,SNL,RM,CO,PS,PP2,CF,CA,IN,AR,RP
1,0-5,0-1,0-8,0-6,0-27,0-14,0-7,0-7,0-8,0-6,1,0-11,0-33,0-9,0-11,0-6
2,6-8,2,9,7-8,28-30,15-16,8-9,8-9,9-10,7-8,2,12-14,34-41,10,12-13,7
3,9-12,3-4,10,9,31-33,17-19,10-11,10-11,11-12,9-10,3,15-16,42-48,11,14-15,8
4,13-17,5-7,11,10-11,34-36,20-22,12-13,12-13,13-15,11-13,4,17-18,49-56,12-13,16-17,9
5,18-21,8-11,12,12,37-40,23-25,14,14-15,16-17,14-15,5,19-20,57-64,14,18-19,10-11
6,22-26,12-15,13,13,41-44,26-28,15-16,16-17,18-20,16-18,6,21-22,65-72,15-16,20,12
7,27-31,16-19,14,14-15,45-48,29-31,17,18-19,21-22,19-21,7,23-24,73-80,17,21-22,13
8,32-36,20-22,15,16,49-52,32-33,18,20-21,23-24,22-24,8,25-26,81-88,18-19,23-24,14
9,37-41,23-26,16,17-18,53-57,34-36,19,22-23,25-27,25-27,9,27-28,89-95,20,25,15
10,42-46,27-29,17,19,58-62,37-39,20,24,28-29,28-30,10,29-30,96-102,21,26-27,16
11,47-51,30-31,18-19,20,63-67,40-41,21,25-26,30-31,31-33,11,31,103-109,22-23,28,17
12,52-55,32-33,20-21,21,68-72,42-44,22,27-28,32,34-36,12,32,110-115,24,29,18
13,56-58,34,22,22-23,73-78,45-47,,29,33-34,37-38,13,33,116-121,25-26,30,19
14,59-62,35,23-24,24,79-83,48-49,,30-31,35-36,39-40,14,34,122-127,27,31,20
15,63-65,36,25,25,84-89,50-52,23,32,37,41-42,15,35,128-131,28-29,32,21
16,66,37,26-27,26,90-95,53-54,24,33,38,43-44,16,36,132-134,30,,22
17,67,38,28-29,27,96-101,55-57,25,34,39,45-46,17,37,135,31,33,
18,68,39,30-31,28,102-107,58-59,26,,40,47-49,18,,136,32,,23
19,,40-44,32,,108-119,60-68,27-30,35,41-42,50-60,19,38,,33,34,24
