PP,CB,SM,DG,CN,CD,VC,SNL,RM,CO,PS,PP2,CF,CA,IN,AR,RP
1,0-3,0,0-8,0-4,0-20,0-12,0-4,0-6,0-7,0-4,1,0-9,0-30,0-9,0-11,0-5
2,4-6,1,9,5-6,21-23,13-15,5-6,7-8,8-9,5-6,2,10-11,31-37,10,12-13,6
3,7-10,2-3,10,7-8,24-26,16-18,7-8,9-10,10-11,7-8,3,12-14,38-44,11,14-15,7
4,11-14,4-6,,9,27-30,19-20,9-10,11-12,12-13,9-11,4,15-16,45-51,12,16,8
5,15-18,7-9,11,10-11,31-34,21-23,11-12,13-14,14-15,12-13,5,17-18,52-58,13,17-18,9-10
6,19-23,10-13,12,12,35-38,24-26,13,15-16,16-17,14-16,6,19-20,59-65,14,19,11
7,24-27,14-16,13,13-14,39-42,27-28,14-15,17,18-19,17-18,7,21-22,66-72,15,20-21,12
8,28-32,17-19,14,15,43-46,29-31,16,18-19,20-21,19-21,8,23-24,73-79,16-17,22,13
9,33-36,20-22,15,16,47-50,32-33,17-18,20-21,22-23,22-24,9,25-26,80-86,18,23-24,14
10,37-40,23-25,16,17-18,51-54,34-36,19,22-23,24-25,25-26,10,27,87-93,19,25,15
11,41-44,26-27,17-18,19,55-58,37-38,20,24,26-27,27-29,11,28-29,94-99,20,26,16
12,45-48,28-29,19,20,59-63,39-41,21,25-26,28-29,30-31,12,30,100-106,21-22,27-28,17
13,49-52,30-31,20-21,21-22,64-67,42-43,,27-28,30-31,32-33,13,31-32,107-112,23,29,18
14,53-56,32-33,22,23,68-72,44-46,22,29,32-33,34-35,14,33,113-118,24-25,30,19
15,57-60,34-35,23-24,24,73-76,47-48,,30-31,34-35,36-37,15,34-35,119-124,26,31,
16,61-63,36,25,25,77-81,49-51,23,32-33,36,38-39,16,36,125-130,27,,20
17,64-65,37,26-27,26,82-85,52-53,24,34,37-38,40-41,17,,131-133,28-29,32,21
18,66-67,38,28-29,27,86-90,54-56,25,,39-40,42-44,18,37,134-135,30-31,33,22
19,68,39-44,30-32,28,91-119,57-68,26-30,35,41-42,45-60,19,38,136,32-33,34,23-24
