PP,CB,SM,DG,CN,CD,VC,SNL,RM,CO,PS,PP2,CF,CA,IN,AR,RP
1,0-5,0-1,0-8,0-6,0-26,0-14,0-7,0-6,0-8,0-6,1,0-11,0-32,0-9,0-11,0-6
2,6-8,2,9,7,27-29,15-16,8-9,7-8,9-10,7-8,2,12-14,33-40,10,12-13,7
3,9-12,3-4,10,8-9,30-32,17-19,10-11,9-10,11-12,9-10,3,15-16,41-47,11,14-15,8
4,13-17,5-7,11,10,33-35,20-22,12-13,11-12,13-15,11-13,4,17-18,48-55,12-13,16-17,9
5,18-21,8-11,12,11-12,36-39,23-25,14,13-14,16-17,14-15,5,19-20,56-63,14,18-19,10-11
6,22-26,12-15,13,13,40-43,26-28,15,15-16,18-19,16-18,6,21-22,64-71,15-16,20,12
7,27-31,16-19,,14-15,44-47,29-30,16,17-18,20-22,19-21,7,23-24,72-79,17,21-22,13
8,32-36,20-22,14,16,48-51,31-33,17-18,19-20,23-24,22-24,8,25-26,80-87,18,23,14
9,37-41,23-26,15,17,52-56,34-36,19,21-22,25-26,25-27,9,27-28,88-94,19-20,24-25,15
10,42-46,27-29,16-17,18-19,57-61,37-39,20,23-24,27-28,28-30,10,29-30,95-101,21,26,16
11,47-50,30-31,18-19,20,62-66,40-41,21,25-26,29-30,31-33,11,31,102-108,22-23,27,17
12,51-54,32-33,20,21,67-71,42-44,22,27-28,31-32,34-36,12,32,109-114,24,28-29,18
13,55-58,34,21-22,22-23,72-77,45-46,,29,33-34,37-38,13,33,115-120,25-26,30,19
14,59-61,35,23,24,78-82,47-49,,30-31,35,39-40,14,34,121-126,27,31,20
15,62-64,36,24-25,25,83-87,50-51,23,32,36-37,41-42,15,35,127-130,28-29,32,21
16,65-66,37,26-27,26,88-93,52-54,24,33,38,43-44,16,36,131-133,30,,
17,67,38,28-29,27,94-99,55-56,25,34,39,45-46,17,37,134-135,31,33,22
18,68,39,30,,100-105,57-59,26,,40,47-49,18,,136,32,,23
19,,40-44,31-32,28,106-119,60-68,27-30,35,41-42,50-60,19,38,,33,34,24
