PP,CB,SM,DG,CN,CD,VC,SNL,RM,CO,PS,PP2,CF,CA,IN,AR,RP
1,0,0,0-6,0-3,0-14,0-8,0-1,0-4,0-4,0-1,1,0-5,0-24,0-6,0-9,0-3
2,1-3,,7,4,15-17,9-11,2-3,5,5-6,2-3,2,6-8,25-29,7,10-11,4
3,4-6,1,8,5-6,18-20,12-13,4-5,6-7,7-8,4-5,3,9-10,30-35,8,12,5
4,7-9,2-3,,7,21-23,14-16,6-7,8-9,9,6-8,4,11-12,36-40,9,13-14,6
5,10-12,4-6,9,8-9,24-25,17-18,8-9,10,10-11,9-10,5,13-14,41-46,10,15,7
6,13-15,7-8,10,10,26-28,19-21,10,11-12,12-13,11-12,6,15-16,47-52,11,16,8
7,16-19,9-11,11,11-12,29-31,22-23,11-12,13-14,14-15,13-14,7,17-18,53-57,12,17-18,9
8,20-22,12-13,12,13,32-35,24-25,13,15,16,15-16,8,19-20,58-63,13,19,10
9,23-26,14-16,13,14-15,36-38,26-28,14-15,16-17,17-18,17-18,9,21,64-69,14,20-21,11
10,27-29,17-18,14-15,16,39-42,29-30,16,18-19,19-20,19-20,10,22-23,70-76,15,22,12
11,30-33,19-21,16,17,43-45,31-33,17-18,20,21-22,21-22,11,24-25,77-82,16,23,13
12,34-37,22-23,17,18-19,46-49,34-35,19,21-22,23-24,23-25,12,26-27,83-88,17,24-25,14
13,38-41,24-25,18-19,20,50-53,36-37,20,23-24,25,26-27,13,28,89-95,18-19,26,15
14,42-44,26-28,20,21,54-57,38-39,21,25,26-27,28-29,14,29-30,96-101,20,27,16
15,45-48,29-30,21,22-23,58-61,40-42,22,26-27,28-29,30-31,15,31-32,102-108,21,28,17
16,49-52,31-32,22-23,24,62-64,43-44,23,28,30-31,32-33,16,33,109-114,22,29,
17,53-56,33,24,25,65-68,45-46,,29-30,32-33,34-35,17,34-35,115-121,23,30,18
18,57-60,34-35,25-26,26,69-72,47-48,24,31-32,34,36-38,18,36,122-128,24-25,31,19
19,61-68,36-44,27-32,27-28,73-119,49-68,25-30,33-35,35-42,39-60,19,37-38,129-136,26-33,32-34,20-24
