PP,CB,SM,DG,CN,CD,VC,SNL,RM,CO,PS,PP2,CF,CA,IN,AR,RP
1,0-3,0,0-8,0-5,0-21,0-13,0-5,0-6,0-7,0-4,1,0-9,0-30,0-9,0-11,0-5
2,4-6,1,9,6,22-24,14-16,6-7,7-8,8-9,5-6,2,10-12,31-38,10,12-13,6
3,7-10,2-3,10,7-8,25-28,17-18,8-9,9-10,10-12,7-8,3,13-14,39-45,11,14-15,7-8
4,11-14,4-6,11,9,29-32,19-21,10-11,11-12,13-14,9-11,4,15-16,46-53,12,16-17,9
5,15-19,7-10,,10-11,33-35,22-24,12,13-14,15-16,12-13,5,17-18,54-60,13-14,18,10
6,20-24,11-14,12,12,36-39,25-26,13-14,15-16,17-18,14-16,6,19-20,61-67,15,19-20,11
7,25-29,15-17,13,13-14,40-43,27-29,15,17-18,19-20,17-19,7,21-22,68-75,16,21,12
8,30-33,18-20,14,15,44-47,30-32,16,19-20,21-22,20-22,8,23-24,76-82,17,22-23,13
9,34-38,21-23,15,16-17,48-52,33-34,17-18,21,23-24,23-25,9,25-26,83-89,18,24,14
10,39-42,24-26,16,18,53-56,35-37,19,22-23,25-26,26-28,10,27-28,90-95,19-20,25-26,15
11,43-46,27-28,17-18,19,57-61,38-39,20,24-25,27-28,29-30,11,29,96-102,21,27,16
12,47-50,29-30,19,20-21,62-65,40-42,21,26,29-30,31-33,12,30-31,103-108,22,28,17
13,51-54,31-32,20-21,22,66-70,43-44,22,27-28,31-32,34-35,13,32,109-115,23-24,29,18
14,55-58,33-34,22-23,23,71-75,45-47,,29-30,33-34,36-37,14,33-34,116-121,25,30,19
15,59-61,35,24,24,76-79,48-49,23,31-32,35,38-39,15,35,122-127,26-27,31,20
16,62-64,36,25-26,25,80-84,50-52,24,33,36-37,40-41,16,36,128-131,28,32,21
17,65-66,37,27-28,26,85-89,53-54,25,34,38-39,42-43,17,,132-133,29-30,,
18,67,38,29-30,27,90-94,55-57,26,,40,44-46,18,37,134-135,31,33,22
19,68,39-44,31-32,28,95-119,58-68,27-30,35,41-42,47-60,19,38,136,32-33,34,23-24
