PP,CB,SM,DG,CN,CD,VC,SNL,RM,CO,PS,PP2,CF,CA,IN,AR,RP
1,0,0,0-5,0-2,0-11,0-7,0,0-3,0-2,0-1,1,0-4,0-21,0-5,0-8,0-2
2,1-2,,6,3,12-14,8-9,1-2,4,3-4,2-3,2,5-6,22-26,6,9,3
3,3-4,1,7,4-5,15-17,10-12,3-4,5-6,5-6,4-5,3,7-8,27-31,7,10-11,4
4,5-7,2,8,6,18-20,13-14,5-6,7,7-8,6-7,4,9-10,32-36,8,12,5
5,8-10,3-4,9,7-8,21-22,15-16,7-8,8-9,9,8-9,5,11-12,37-41,9,13-14,6
6,11-13,5-7,,9,23-25,17-19,9,10,10-11,10-11,6,13-14,42-47,10,15,7
7,14-16,8-9,10,10-11,26-28,20-21,10-11,11-12,12-13,12-13,7,15-16,48-52,11,16,8
8,17-19,10-11,11,12,29-31,22-23,12,13-14,14-15,14-15,8,17-18,53-58,12,17-18,9
9,20-22,12-13,12-13,13-14,32-34,24-26,13-14,15,16,16-17,9,19-20,59-64,13,19,10
10,23-26,14-16,14,15,35-37,27-28,15,16-17,17-18,18-19,10,21-22,65-70,14,20-21,11
11,27-29,17-18,15,16,38-41,29-30,16,18,19-20,20-21,11,23-24,71-76,15,22,12
12,30-33,19-21,16,17-18,42-45,31-33,17-18,19-20,21-22,22-23,12,25,77-82,16,23,13
13,34-37,22-23,17-18,19,46-49,34-35,19,21-22,23,24-25,13,26-27,83-89,17,24,14
14,38-40,24-25,19,20-21,50-53,36-37,20,23-24,24-25,26-28,14,28-29,90-95,18,25-26,15
15,41-44,26-28,20,22,54-57,38-40,21,25,26-27,29-30,15,30,96-102,19,27,16
16,45-48,29-30,21-22,23,58-61,41-42,22,26-27,28-29,31-32,16,31-32,103-108,20,28,
17,49-52,31-32,23,24-25,62-65,43-44,23,28-29,30,33-34,17,33-34,109-115,21-22,29,17
18,53-56,33-34,24-25,26,66-69,45-46,,30-31,31-32,35-37,18,35,116-122,23,30,18
19,57-68,35-44,26-32,27-28,70-119,47-68,24-30,32-35,33-42,38-60,19,36-38,123-136,24-33,31-34,19-24
