PP,CB,SM,DG,CN,CD,VC,SNL,RM,CO,PS,PP2,CF,CA,IN,AR,RP
1,0-1,0,0-6,0-3,0-15,0-9,0-2,0-4,0-5,0-1,1,0-6,0-26,0-7,0-10,0-3
2,2-3,1,7,4-5,16-18,10-12,3-4,5-6,6-7,2-3,2,7-9,27-31,8,11,4-5
3,4-7,2,8,6,19-21,13-14,5-6,7-8,8-9,4-5,3,10-11,32-37,9,12-13,6
4,8-10,3-4,9,7-8,22-24,15-17,7-8,9,10,6-8,4,12-13,38-43,10,14,7
5,11-14,5-7,10,9,25-26,18-19,9,10-11,11-12,9-10,5,14-15,44-49,11,15-16,8
6,15-17,8-10,11,10-11,27-30,20-22,10-11,12-13,13-14,11-12,6,16-17,50-55,12,17,9
7,18-21,11-12,12,12,31-34,23-24,12-13,14-15,15-16,13-15,7,18-19,56-61,13,18-19,10
8,22-24,13-14,13,13-14,35-37,25-27,14,16,17-18,16-17,8,20-21,62-67,14,20,11
9,25-28,15-17,14,15,38-41,28-29,15-16,17-18,19,18-19,9,22,68-73,15,21,12
10,29-32,18-20,15,16,42-45,30-32,17,19-20,20-21,20-21,10,23-24,74-79,16,22-23,13
11,33-36,21-23,16,17-18,46-48,33-34,18,21,22-23,22-23,11,25-26,80-86,17,24,14
12,37-39,24-25,17-18,19,49-52,35-36,19,22-23,24-25,24-26,12,27-28,87-92,18,25,15
13,40-43,26-27,19,20,53-56,37-39,20,24-25,26-27,27-28,13,29,93-98,19-20,26-27,16
14,44-47,28-29,20,21-22,57-59,40-41,21-22,26,28,29-30,14,30-31,99-105,21,28,17
15,48-51,30-31,21-22,23,60-63,42-43,,27-28,29-30,31-32,15,32,106-111,22,29,
16,52-55,32,23,24,64-67,44-45,23,29,31-32,33-34,16,33-34,112-118,23,30,18
17,56-59,33-34,24-25,25,68-71,46-48,,30-31,33-34,35-36,17,35,119-125,24-25,31,19
18,60-62,35-36,26-27,26,72-75,49-50,24,32-33,35-36,37-38,18,36,126-131,26,32,
19,63-68,37-44,28-32,27-28,76-119,51-68,25-30,34-35,37-42,39-60,19,37-38,132-136,27-33,33-34,20-24
