PP,CB,SM,DG,CN,CD,VC,SNL,RM,CO,PS,PP2,CF,CA,IN,AR,RP
1,0,,0-5,0-1,0-10,0-6,0,0-3,0-1,0,1,0-3,0-19,0-5,0-7,0-1
2,1,0,6,2-3,11-13,7-9,1,4,2-3,1-2,2,4-5,20-23,6,8,2-3
3,2-3,,,4,14-16,10-11,2-3,5,4-5,3-4,3,6-7,24-28,7,9-10,4
4,4-5,1,7,5-6,17-19,12-13,4-5,6,6-7,5-6,4,8-9,29-33,8,11,5
5,6-8,2-3,8,7,20-21,14-15,6-7,7-8,8,7-8,5,10-11,34-38,,12,6
6,9-11,4-5,9,8-9,22-23,16-17,8,9,9-10,9-10,6,12-13,39-43,9,13-14,7
7,12-14,6-7,10,10,24-26,18-20,9-10,10-11,11-12,11-12,7,14-15,44-48,10,15,8
8,15-17,8-9,11,11,27-28,21-22,11,12,13,13-14,8,16-17,49-54,11,16-17,9
9,18-20,10-12,12,12-13,29-31,23-24,12-13,13-14,14-15,15-16,9,18-19,55-60,12,18,10
10,21-23,13-14,13,14,32-34,25-26,14,15-16,16-17,17-18,10,20-21,61-66,13,19,11
11,24-27,15-16,14,15-16,35-38,27-29,15-16,17,18,19-20,11,22,67-72,14,20-21,12
12,28-30,17-19,15-16,17,39-42,30-31,17,18-19,19-20,21-22,12,23-24,73-78,15,22,13
13,31-34,20-21,17,18-19,43-46,32-33,18,20-21,21-22,23-24,13,25-26,79-84,16,23,
14,35-38,22-24,18,20,47-50,34-36,19,22,23-24,25-27,14,27-28,85-91,17,24,14
15,39-41,25-26,19-20,21,51-54,37-38,20,23-24,25,28-29,15,29-30,92-97,18,25,15
16,42-45,27-28,21,22-23,55-59,39-40,21,25-26,26-27,30-31,16,31,98-104,19,26-27,16
17,46-49,29-31,22,24-25,60-63,41-43,22,27-28,28-29,32-34,17,32-33,105-111,20-21,28,
18,50-53,32-33,23-24,26,64-67,44-45,23,29-30,30-31,35-36,18,34-35,112-118,22,29,17
19,54-68,34-44,25-32,27-28,68-119,46-68,24-30,31-35,32-42,37-60,19,36-38,119-136,23-33,30-34,18-24
