PP,CB,SM,DG,CN,CD,VC,SNL,RM,CO,PS,PP2,CF,CA,IN,AR,RP
1,,,0-1,0,0-1,0-3,,0,0,0,1,0,0-5,0-2,0,
2,0,,2,,2-4,4,,1,,,2,,6-8,3,,0
3,,,3,1,5-8,5,0,2,1,1,3,1,9-11,4,1,1
4,1,,4,2,9-12,6-7,,3,2,2,4,2,12-16,5,2,2
5,2,0,5,3,13-16,8,1,,3,3-4,5,3-4,17-20,,3-4,3
6,3,,6,4,17-21,9-10,2,4,4,5-6,6,5-6,21-25,6,5,4
7,4,1,7,5,22-25,11-12,3-4,5,5-6,7-8,7,7-8,26-30,,6,5
8,5-7,2-3,8,6-7,26-29,13-14,5,6,7,9-11,8,9-10,31-35,7,7,6
9,8-10,4-5,9,8,30-33,15-16,6-7,7-8,8-9,12-14,9,11-12,36-40,8,8-9,7
10,11-13,6,10,9-10,34-37,17-18,8,9,10,15,10,13,41-46,,10,8
11,14-17,7-9,11,11,38-42,19-20,9-10,10-11,11-12,16-18,11,14-15,47-51,9,11,9
12,18-20,10-12,12,12-13,43-46,21-23,11,12-13,13-14,19-21,12,16-17,52-57,10,12-13,
13,21-23,13-14,13,14-15,47-51,24-25,12,14-15,15,22-23,13,18-20,58-64,11,14,10
14,24-26,15-17,14,16-17,52-55,26-27,13-14,16-17,16-17,24-25,14,21-23,65-70,,15,11
15,27-30,18-19,15-16,18-19,56-58,28-30,15,18-19,18-19,26-28,15,24-25,71-76,12,16-17,12
16,31-33,20-22,17,20-21,59-61,31-32,16,20-21,20-21,29-30,16,26-27,77-83,13,18,
17,34-37,23-25,18,22-23,62-63,33-35,17-18,22-24,22-23,31-33,17,28-29,84-89,14,19,13
18,38-41,26-28,19,24,64-65,36-38,19,25-26,24-25,34-36,18,30-31,90-96,15,20-21,14
19,42-68,29-44,20-32,25-28,,39-68,20-30,27-35,26-42,37-45,19,32-38,97-136,16-33,22-34,15-24
