PP,CB,SM,DG,CN,CD,VC,SNL,RM,CO,PS,PP2,CF,CA,IN,AR,RP
1,0,,0-4,0-1,0-7,0-5,0,0-2,0,0,1,0-1,0-15,0-3,0-4,0-1
2,,,5,2,8-10,6-7,,3,1-2,1,2,2-3,16-18,4,5-6,2
3,1,,,3,11-13,8-9,1-2,4,3,2,3,4-5,19-23,5,7,3
4,2-3,0,6,4-5,14-16,10-11,3-4,5,4-5,3-4,4,6-7,24-27,6,8-9,4
5,4-5,1,7,6,17-18,12-13,5,6,6,5,5,8-9,28-32,7,10,5
6,6-8,2-3,8,7,19-20,14-15,6-7,7,7-8,6-7,6,10-11,33-37,8,11,6
7,9-11,4-5,9,8-9,21-23,16-17,8,8-9,9,8-9,7,12-13,38-42,9,12-13,7
8,12-13,6-7,10,10,24-25,18-19,9-10,10,10-11,10-11,8,14-15,43-47,,14,8
9,14-16,8-9,11,11,26-28,20-21,11,11-12,12-13,12-13,9,16,48-53,10,15,9
10,17-20,10-11,12,12-13,29-31,22-24,12,13,14,14-15,10,17-18,54-59,11,16-17,10
11,21-23,12-14,13,14,32-35,25-26,13-14,14-15,15-16,16-17,11,19-20,60-65,12,18,11
12,24-26,15-16,14-15,15-16,36-39,27-28,15,16-17,17-18,18-19,12,21-22,66-71,13,19,
13,27-30,17-18,16,17,40-43,29-31,16,18-19,19-20,20-22,13,23-24,72-77,14,20-21,12
14,31-34,19-21,17,18-19,44-46,32-33,17-18,20-21,21,23-24,14,25-26,78-84,15,22,13
15,35-37,22-24,18,20,47-50,34-35,19,22,22-23,25-27,15,27-28,85-90,16,23,14
16,38-41,25-26,19-20,21-22,51-56,36-38,20,23-24,24-25,28-29,16,29-30,91-97,17,24,15
17,42-45,27-29,21,23-24,57-60,39-40,21,25-26,26-27,30-32,17,31-32,98-104,18-19,25-26,
18,46-49,30-31,22,25,61-64,41-43,22,27-29,28,33-34,18,33-34,105-111,20,27,16
19,50-68,32-44,23-32,26-28,65-119,44-68,23-30,30-35,29-42,35-60,19,35-38,112-136,21-33,28-34,17-24
