PP,CB,SM,DG,CN,CD,VC,SNL,RM,CO,PS,PP2,CF,CA,IN,AR,RP
1,0-2,0,0-7,0-4,0-17,0-11,0-3,0-5,0-6,0-2,1,0-8,0-28,0-8,0-10,0-4
2,3-4,1,8,5,18-20,12-13,4-5,6-7,7-8,3-4,2,9-10,29-35,9,11-12,5
3,5-8,2-3,9,6-7,21-23,14-16,6-7,8-9,9-10,5-6,3,11-12,36-41,10,13-14,6-7
4,9-12,4-5,10,8,24-27,17-19,8-9,10-11,11-12,7-9,4,13-14,42-48,11,15,8
5,13-16,6-8,,9-10,28-30,20-21,10-11,12-13,13-14,10-11,5,15-16,49-54,12,16-17,9
6,17-20,9-11,11,11,31-34,22-24,12,14,15-16,12-14,6,17-18,55-60,13,18,10
7,21-24,12-14,12,12-13,35-38,25-26,13-14,15-16,17-18,15-16,7,19-20,61-67,14,19-20,11
8,25-28,15-17,13,14,39-42,27-29,15,17-18,19-20,17-19,8,21-22,68-73,15,21,12
9,29-32,18-19,14,15-16,43-46,30-31,16-17,19-20,21-22,20-21,9,23-24,74-80,16,22-23,13
10,33-36,20-22,15-16,17,47-50,32-34,18,21,23,22-23,10,25-26,81-86,17-18,24,14
11,37-40,23-25,17,18-19,51-54,35-36,19,22-23,24-25,24-26,11,27-28,87-93,19,25,15
12,41-44,26-27,18,20,55-57,37-39,20,24-25,26-27,27-28,12,29,94-99,20,26-27,16
13,45-48,28-29,19-20,21,58-61,40-41,21,26,28-29,29-30,13,30-31,100-106,21,28,17
14,49-52,30-31,21,22,62-65,42-44,22,27-28,30-31,31-32,14,32,107-112,22-23,29,18
15,53-56,32-33,22-23,23,66-69,45-46,,29-30,32-33,33-34,15,33,113-118,24,30,
16,57-59,34,24,24-25,70-74,47-48,23,31,34,35-36,16,34-35,119-125,25,31,19
17,60-63,35-36,25-26,26,75-78,49-50,24,32-33,35-36,37-38,17,36,126-131,26-27,32,20
18,64-65,,27-28,27,79-82,51-53,25,34,37-38,39-40,18,37,132-134,28,,21
19,66-68,37-44,29-32,28,83-119,54-68,26-30,35,39-42,41-60,19,38,135-136,29-33,33-34,22-24
