PP,CB,SM,DG,CN,CD,VC,SNL,RM,CO,PS,PP2,CF,CA,IN,AR,RP
1,,,0,,,0-2,,0,,,1,0,0-2,0-2,,
2,0,,1,0,0-2,3,,,0,0,2,,3-5,3,0,0
3,,,2,,3-6,4,,1,,,3,,6-9,4,,
4,1,,3,1,7-10,5-6,0,2,1,1,4,1,10-13,5,1,1
5,,0,4,2,11-14,7,,3,2,2-3,5,2-3,14-17,,2,2
6,2,,5,3,15-19,8-9,1,,3,4-5,6,4-5,18-22,6,3,3
7,3,1,6,4-5,20-23,10,2-3,4,4-5,6-7,7,6,23-27,,4,4
8,4-6,2,7,6,24-27,11-12,4,5,6,8-9,8,7-8,28-32,,5-6,5
9,7-9,3-4,8,7,28-31,13-14,5-6,6-7,7-8,10-12,9,9-10,33-37,7,7,6
10,10-12,5,9,8-9,32-35,15-17,7,8,9,13-14,10,11-12,38-43,8,8,7
11,13-16,6-8,10,10-11,36-40,18-19,8,9-10,10-11,15-16,11,13-15,44-48,,9,8
12,17-19,9-11,11,12,41-44,20-21,9-10,11-12,12-13,17-19,12,16-17,49-54,9,10-11,9
13,20-23,12-14,12-13,13-14,45-49,22-24,11-12,13-14,14-15,20-21,13,18-19,55-60,10,12-13,10
14,24-26,15-16,14,15-16,50-53,25-26,13-14,15-16,16,22-23,14,20-21,61-67,11,14,11
15,27-28,17-18,15,17-18,54-57,27-29,15,17-18,17-18,24-26,15,22-24,68-73,,15,
16,29-32,19-21,16,19-20,58-60,30-31,16,19-20,19-20,27-28,16,25-26,74-79,12,16,12
17,33-36,22-24,17,21-22,61-62,32-34,17,21-23,21-22,29-31,17,27-28,80-86,13,17,13
18,37-39,25-27,18-19,23-24,63-64,35-37,18,24-26,23-24,32-34,18,29-31,87-93,14,18-19,
19,40-68,28-44,20-32,25-28,65,38-68,19-30,27-35,25-42,35-45,19,32-38,94-136,15-33,20-34,14-24
