PP,CB,SM,DG,CN,CD,VC,SNL,RM,CO,PS,PP2,CF,CA,IN,AR,RP
1,,,0-2,0,0-4,0-4,,0-1,0,0,1,0,0-9,0-2,0-1,0
2,0,,3,1,5-8,5,0,2,,1,2,1,10-13,3,2-3,1
3,,,4,2,9-11,6-7,,3,1-2,2,3,2,14-16,4,4,2
4,1,0,5,3,12-15,8-9,1,4,3,3-4,4,3-4,17-21,5,5,3
5,2,,6,4,16-19,10,2-3,5,4,5-7,5,5-6,22-25,6,6-7,4
6,3-5,1,7,5-6,20-24,11-12,4,6,5-6,8-9,6,7-8,26-30,,8,5
7,6-7,2,8,7,25-28,13-14,5-6,7,7,10-12,7,9-10,31-35,7,9,6
8,8-10,3-4,9,8,29-32,15-16,7,8,8-9,13-14,8,11-12,36-40,8,10-11,7
9,11-13,5-6,10,9-10,33-36,17-18,8-9,9,10,15-17,9,13-14,41-46,9,12,8
10,14-16,7-8,11,11,37-41,19-20,10,10-11,11-12,18-19,10,15-16,47-51,,13,9
11,17-19,9-11,12,12-13,42-45,21-23,11,12-13,13-14,20-22,11,17-18,52-57,10,14,
12,20-23,12-13,13,14,46-49,24-25,12-13,14-15,15,23-24,12,19-20,58-63,11,15-16,10
13,24-26,14-16,14,15-16,50-54,26-27,14,16-17,16-17,25-27,13,21-22,64-69,12,17,11
14,27-29,17-19,15-16,17-18,55-58,28-30,15,18,18-19,28-29,14,23-24,70-76,13,18,12
15,30-33,20-21,17,19-20,59-61,31-32,16-1719-20,19-20,20-21,30-32,15,25-26,77-82,14,19-20,13
16,34-36,22-24,18,21-22,62-63,33-35,18,21-22,22,33-34,16,27-28,83-89,15,21,
17,37-40,25-27,19,23-24,64-65,36-37,19,23-25,23-24,35-37,17,29-30,90-95,16,22,14
18,41-44,28-30,20-21,25,,38-40,20,26-27,25-26,38-40,18,31-32,96-102,17,23,15
19,45-68,31-44,22-32,26-28,,41-68,21-30,28-35,27-42,41-45,19,33-38,103-136,18-33,24-34,16-24
