PP,CB,SM,DG,CN,CD,VC,SNL,RM,CO,PS,PP2,CF,CA,IN,AR,RP
1,0-4,0,0-8,0-5,0-23,0-14,0-6,0-6,0-8,0-5,1,0-10,0-31,0-9,0-11,0-6
2,5-7,1-2,9,6-7,24-26,15-16,7-8,7-8,9-10,6-7,2,11-13,32-39,10,12-13,7
3,8-11,3-4,10,8,27-29,17-19,9-10,9-10,11-12,8-9,3,14-15,40-46,11,14-15,8
4,12-15,5-7,11,9-10,30-33,20-22,11-12,11-12,13-14,10-12,4,16-17,47-54,12-13,16-17,9
5,16-20,8-10,,11,34-37,23-24,13,13-14,15-16,13-14,5,18-19,55-62,14,18,10
6,21-25,11-14,12,12-13,38-41,25-27,14,15-16,17-19,15-17,6,20-21,63-69,15,19-20,11
7,26-30,15-18,13,14,42-45,28-30,15,17-18,20-21,18-20,7,22-23,70-77,16,21-22,12
8,31-34,19-21,14,15-16,46-49,31-32,16-17,19-20,22-23,21-23,8,24-25,78-84,17-18,23,13
9,35-39,22-24,15,17,50-54,33-35,18,21-22,24-25,24-26,9,26-27,85-91,19,24-25,14
10,40-44,25-27,16,18,55-58,36-38,19-20,23,26-27,27-29,10,28-29,92-98,20,26,15-16
11,45-48,28-29,17-18,19-20,59-63,39-40,,24-25,28-29,30-31,11,30,99-105,21-22,27,17
12,49-52,30-31,19-20,21,64-68,41-43,21,26-27,30-31,32-34,12,31,106-111,23,28,
13,53-56,32-33,21,22,69-73,44-45,22,28-29,32-33,35-36,13,32-33,112-117,24-25,29,18
14,57-59,34,22-23,23,74-78,46-48,,30-31,34,37-39,14,34,118-123,26,30-31,19
15,60-63,35-36,24,24,79-83,49-50,23,32,35-36,40-41,15,35,124-129,27-28,32,20
16,64-65,37,25-26,25,84-88,51-53,24,33,37-38,42-43,16,36,130-132,29,,21
17,66,38,27-28,26,89-93,54-55,25,34,39,44-45,17,,133-134,30-31,33,22
18,67,39,29-30,27,94-99,56-58,26,,40,46-47,18,37,135,32,,
19,68,40-44,31-32,28,100-119,59-68,27-30,35,41-42,48-60,19,38,136,33,34,23-24
